begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup,DIFFICULT,SPEAKER,DIFFICULT,APPOSITION,NOMINAL,PRONOUN
249,251,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",We,"



                          ",0,READER,false,false,false,false,false,false,true
371,373,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",We,"



                          ",0,READER,false,false,false,false,false,false,true
452,454,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",We,"



                          ",0,READER,false,false,false,false,false,false,true
558,560,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",We,"



                          ",0,READER,false,false,false,false,false,false,true
652,654,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",We,"



                          ",0,READER,false,false,false,false,false,false,true
1189,1191,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",We,"



                          ",0,READER,false,false,false,false,false,false,true
1653,1655,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",WE,"



                          ",0,READER,false,false,false,false,false,false,true
2021,2023,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",WE,"



                          ",0,READER,false,false,false,false,false,false,true
2106,2108,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
2134,2136,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
2214,2216,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",WE,"



                          ",0,READER,false,false,false,false,false,false,true
2260,2262,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
2321,2323,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
2501,2503,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",WE,"



                          ",0,READER,false,false,false,false,false,false,true
2611,2613,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
2720,2722,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
2925,2927,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",WE,"



                          ",0,READER,false,false,false,false,false,false,true
3173,3175,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
3811,3813,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
3859,3861,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",WE,"



                          ",0,READER,false,false,false,false,false,false,true
4246,4248,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
4586,4588,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",WE,"



                          ",0,READER,false,false,false,false,false,false,true
4870,4872,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
5684,5686,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
6238,6240,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
6365,6367,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
6467,6469,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
7204,7206,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
7391,7393,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
8666,8668,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",We,"



                          ",0,READER,false,false,false,false,false,false,true
10597,10599,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",We,"



                          ",0,READER,false,false,false,false,false,false,true
10729,10731,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",We,"



                          ",0,READER,false,false,false,false,false,false,true
11099,11101,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
11453,11455,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
11511,11513,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",us,"



                          ",0,READER,false,false,false,false,false,false,true
11565,11567,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",WE,"



                          ",0,READER,false,false,false,false,false,false,true
11688,11690,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
11809,11811,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",WE,"



                          ",0,READER,false,false,false,false,false,false,true
11921,11923,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
12014,12016,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",We,"



                          ",0,READER,false,false,false,false,false,false,true
12151,12153,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
12228,12230,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
12325,12327,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",We,"



                          ",0,READER,false,false,false,false,false,false,true
12538,12540,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
12598,12600,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
13093,13095,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
13272,13274,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
14802,14804,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",WE,"



                          ",0,READER,false,false,false,false,false,false,true
15014,15016,,,-1,-1,"



BLACK

BEGIN CREDITS.....
",we,"



                          ",0,READER,false,false,false,false,false,false,true
